given_name,family_name,date_of_birth,place_of_birth
Albert,Munns,1884-01-05,Airdrie
Ernest,Sheppard,04-06-1905,Dumfries
Ann,Ratty,1861-11-15,Stirling
William,Aaronricks,1875-06-25,Portsoy
Maalim,Maulidi,01-09-1981,Perth
Jennifer,Watson,23-06-1980,Fraserburgh
Minnie,Ingham,1898-03-09,Arbroath
June,Surridge,17-08-1932,Clydebank
Leslie,Luckett,1897-04-05,Ballymoney
Diana,Marshall,12-09-1983,Coleraine
Alfred,Higgins,1881-09-12,Portadown
Ronald,Nicholson,12-01-1921,Dundee
Joe,Tinker,1853-11-03,Golspie
Emma,Taylor,1842-02-19,Leven
Mary,Mathias,1875-03-03,Kilmarnock
Edith,Croot,1887-02-03,Coatbridge
Margaret,O'neill,08-09-1947,Galashiels
Joseph,Stacey,1879-04-29,Rothesay
William,Grimsey,1866-08-07,Banbridge
Frederick,Andrews,1874-08-10,Blairgowrie
Brendan,Connolly,19-07-1957,Ballymoney
Elizabeth,Quirk,1880-01-07,Edinburgh
Donna,Sykes,14-08-1983,Londonderry
Robert,Lodge,1848-11-26,Bridge of Allan
Henry,Kennett,1876-02-20,Downpatrick
Margaret,Smith,06-03-1919,Lisburn
William,Canvin,01-07-1913,Carrickfergus
Ivan,Humphreys,23-06-1934,Jedburgh
Wilhelmine,Tosto,1868-09-04,Milngavie
Greer,Smith,05-06-1974,Greenock
Louise,Vines,23-01-1978,Cupar
Emily,Picton,02-05-1901,Dalkeith
Arthur,Barnett,15-09-1910,Inverness
Darren,Manders,08-05-1968,Hamilton
Irene,Touboulic,26-09-1928,Aberdeen
Andrew,Bayfield,02-10-1979,Enniskillen
Lawrence,Gaskell,1876-08-30,Leven
John,Marsterman,1885-03-09,Airdrie
Jason,King,09-09-1980,Huntly
Eugene,Rowsell,19-07-1906,Dalkeith
Pauline,Laycock,04-09-1947,Buckie
Sidney,Wood,23-02-1923,Portsoy
Joseph,Mcevoy,06-11-1970,Lurgan
Walter,Hackwell,1863-12-26,Kilmarnock
Joseph,Swithenbank,1891-08-01,Langholm
Alice,Milns,19-01-1912,Coleraine
Thomas,Rowlands,1847-08-22,Grantown-on-Spey
Margaret,Holt,14-07-1900,Dumfries
Daphne,Fitzjohn,11-10-1913,Ayr
Hernest,Legg,1863-10-14,Barrhead
Sarah,Longshaw,1840-12-01,Dunfermline
Laura,Twyman,12-03-1964,Galashiels
Emma,Gough,1846-02-02,Musselburgh
Hezekiah,Carter,1888-02-16,Invergordon
Alan,Adams,03-05-1946,Helensburgh
Gladys,Instance,19-12-1905,Tillicoultry
Alice,Clare,1890-01-11,Ballymoney
Jill,Joslin,04-08-1935,Bridge of Allan
Anne,Bird,1848-04-11,Dunfermline
Thomas,Burns,11-10-1942,Newtownards
Malcolm,Threadgold,04-06-1942,Coatbridge
Michael,Park,05-01-1939,Newtownards
Christine,Earl,03-11-1945,Bellshill
William,Barnes,1891-06-22,Thurso
William,Sainsbury,1892-12-06,Londonderry
Peter,Wraight,05-04-1980,Banff
Marian,Hale,09-09-1921,Lurgan
Sidney,Ludkin,05-05-1949,Bathgate
Robina,Dunstan,1861-08-12,Greenock
Hilda,Anderson,1892-01-03,Grantown-on-Spey
Eva,Bolton,1892-11-19,Fraserburgh
George,Mealing,27-09-1924,Portadown
Leonard,Hooper,06-06-1919,Wick
Thomas,Jackson,1850-02-19,Wishaw
Harriett,Kevis,1847-01-14,Aberdeen
James,Smith,1846-05-05,Dalkeith
Mary,Thorogood,1878-04-21,Castle Douglas
Karen,Hughes,16-04-1958,Ballymena
Alice,Miggs,1880-09-26,Bathgate
Emily,Moss,1895-10-29,Aberdeen
William,Townsend,1882-07-26,Huntly
Sarah,Byne,1866-05-03,Aberdeen
Martin,Gibbs,20-03-1948,Cookstown
Eliza,Twyford,1864-04-18,Omagh
Jane,King,1851-04-13,Bellshill
John,Batchelor,1897-11-29,Galashiels
Alice,Matthewes,1865-04-27,Anstruther
Joseph,Scarborough,1881-08-06,Dalbeattie
Joseph,Brandon,19-01-1905,Lisburn
Norman,Blackburn,1886-09-10,Golspie
Patricia,Marshall,19-07-1948,Dumbarton
Mariel,Clarke-campbell-preston,16-07-1907,Kilmarnock
Frances,Galbraith,16-01-1976,Newtownards
Gertrude,Long,25-08-1907,Musselburgh
Edgar,Frith,25-10-1920,Portadown
Frances,Neal,1868-07-11,Forres
Muriel,Robinson,28-06-1917,Londonderry
Reginald,Hopley,1893-10-30,Castle Douglas
Florence,Broom,1875-07-11,Paisley
Wendy,Thorogood,15-01-1938,Banbridge
Margaret,Johnson,02-05-1902,Lisburn
Hannah,Scott,1852-02-16,Aberdeen
Ellen,Lynall,1862-10-16,Stirling
Alfred,Young,01-12-1948,Downpatrick
Gavin,Walker,20-10-1964,Elgin
Susan,Nutman,27-03-1956,Greenock
Margaret,Morgan,1849-04-05,Lurgan
Cecil,Colville,09-05-1912,Omagh
Alfred,Stroud,1854-08-19,Nairn
Elizabeth,Bruce,22-01-1981,Dundee
Louise,Quin,1887-08-06,Clydebank
James,Parnell,1883-11-22,Forfar
Margaret,Wilson,21-03-1929,Ballymena
Robert,De burgh,19-01-1916,Jedburgh
Ann,Sayer,1851-01-17,Forres
John,Fenney,18-11-1923,Londonderry
Hannah,Vaughan,11-11-1930,Dumbarton
Sydney,Moore,13-08-1916,Brechin
Alan,Graham,02-11-1909,Brechin
Margaret,Askew,1837-07-28,Lerwick
Angela,Mann,02-10-1954,Wishaw
Albert,Greaves,1899-02-20,Buckie
Charley,Farrance,1864-07-27,Aberdeen
Mary,Butterworth,1875-10-09,Nairn
Nancy,Sanderson,1846-09-19,Barrhead
Eliza,Boardman,1865-03-24,Buckie
Nancy,Thornley,1852-10-08,Cupar
Michelle,Hunt,16-03-1979,Milngavie
Douglas,Gamble,09-08-1932,Grantown-on-Spey
Peter,Dragonetti,29-08-1952,Peebles
Sarah,Payton,10-09-1900,Kilsyth
Stephen,Ashby,1881-09-05,Dumfries
Christine,Henshaw,08-05-1940,Banff
James,Brady,23-09-1962,Ardrossan
John,Jacobs,08-02-1910,Coleraine
Michael,Hurley,22-02-1930,Anstruther
John,Green,07-12-1925,Kelso
Elizabeth,Culley,1865-11-12,Peebles
Jemima,Arthur,1846-12-11,Lerwick
Thomas,Shirley,1876-07-01,Alloa
Edith,Bebbington,1877-10-10,Bellshill
Charles,Corbett,08-12-1910,Downpatrick
Timothy,Smith,21-03-1969,Tillicoultry
John,Kay,24-04-1903,Tillicoultry
Edward,Whitley,1871-01-16,Banbridge
Irene,Hawkyard,20-10-1926,Ballymoney
Robert,Kendall,1889-02-05,Newry
Edith,Pickels,1871-10-03,Carluke
Keith,Mccann,30-08-1972,Newry
Caroline,Smith,1839-11-01,Ayr
Fred,Wilkinson,19-10-1919,Oban
Penelope,Sacre,11-01-1965,Carrickfergus
Jacqueline,Tait,21-12-1971,Haddington
Rose,Tuffill,1857-01-25,Coleraine
William,Wilson,1842-08-04,Keith
Kate,Forder,1877-09-17,Coatbridge
Jane,Ayres,02-06-1962,Dumbarton
Margaret,Graham,19-05-1900,Stornoway
Clarissa,Heseltine,1879-06-21,Stirling
Miriam,Bartlett,1897-08-06,Campbeltown
Nicola,Davies,13-04-1975,Banff
Patricia,Marlor,03-11-1955,Lurgan
Kathleen,Holt,21-07-1922,Armagh
Graham,Maskew,28-06-1958,Lisburn
James,Greenwood,1842-03-07,Falkirk
Laura,Dudley,04-05-1983,Lurgan
Simon,Gould,24-09-1972,Newtownards
Edith,Maughan,12-06-1905,Enniskillen
Tracy,Allen,28-12-1977,Wishaw
William,Bassett,1852-02-25,Newton Stewart
Richard,Lane,1893-09-13,Campbeltown
Leslie,Durham,21-05-1957,Bridge of Allan
Simon,Schofield,11-04-1982,Thurso
John,Mcvey,1863-11-05,Lerwick
Elizabeth,Sanford,1867-12-20,Annan
Doris,Carter,21-08-1913,Blairgowrie
Samantha,Phelps,18-10-1967,Peterhead
Robert,Vickers,21-06-1975,Bangor
Frank,Gibbons,13-09-1921,Arbroath
Louisa,Waghorn,30-03-1921,Blairgowrie
Annie,Watkins,1895-07-13,Banbridge
Darren,Wadham,30-03-1981,Bangor
Mark,Hockley,1899-07-20,Stranraer
William,Price,1884-08-23,Dundee
Colin,Jones,28-05-1962,Portsoy
Sallg,Mcgowan,21-06-1945,Londonderry
William,Venmore,1844-10-11,Kelso
William,Reaney,03-03-1901,Hamilton
Frederic,Blakeman,1860-03-23,Kinross
Henry,Mccarthy,1851-02-09,Selkirk
Lily,Wallis,04-01-1918,Blairgowrie
Florence,Hodge,1895-01-06,Elgin
Christine,Rawsthorne,11-08-1953,Barrhead
Jane,Wells,1848-08-19,Cupar
Robert,Goodwin,1853-01-24,Downpatrick
Barbara,Wiltshire,08-11-1931,Stonehaven
Steven,Grodkiewicz,20-12-1979,Motherwell
William,Weatherall,1847-03-20,Peterhead
Florence,Clayton,1882-09-15,Kilsyth
James,Wright,1878-06-07,Arbroath
Thomas,Richmond,1899-12-13,Tillicoultry
Frederick,Turner,1899-06-18,Milngavie
William,Watson,1840-08-07,Wick
John,Brayen,1863-01-26,Portadown
Lucy,Sissons,08-10-1944,Anstruther
June,Heaven,19-08-1934,Kirkcaldy
Timothy,Kelsall,06-01-1920,Kirkintilloch
Thomas,Cleaver,23-11-1915,Kirriemuir
John,Flesher,10-05-1925,Campbeltown
John,King,26-07-1936,Kirkcaldy
Emily,Palmer,23-11-1904,Banff
Haydn,Thomas,09-01-1905,Lerwick
Llewellyn,Llewellyn,1890-01-14,Helensburgh
Catherine,Winter,1885-09-21,Milngavie
Leone,Chapman,02-04-1969,Nairn
Joanna,Hunter,28-03-1974,Newton Stewart
Arthur,Hogg,10-05-1906,Portadown
Joseph,Lawrance,27-08-1911,Edinburgh
Eliza,Waters,1881-12-17,Arbroath
Maria,Penny,1839-11-29,Blairgowrie
Mary,Mahomet,1840-08-08,Keith
Mary,Beardsworth,1870-10-27,Barrhead
Christine,Wilkinson,21-03-1949,Thurso
Andrew,Hancox,06-01-1977,Carluke
Robert,Uney,12-08-1917,Dungannon
Susanna,Sedgwick,1840-04-25,Golspie
Barry,Huckle,15-02-1954,St Andrews
Catherine,Bevan,1879-03-11,Arbroath
Norman,Wright,10-07-1903,Belfast
Eric,Whelan,21-03-1946,Annan
William,Wood,1850-10-09,Keith
Jennifer,Finkhouse,07-07-1966,Leven
Francis,Daley,1857-07-08,Keith
Constance,Mansfield,1895-01-06,Londonderry
Hilary,Woodroffe,1842-06-15,Port Glasgow
John,Marsden,1877-11-03,Inverness
Thomas,Simpson,05-03-1906,Banbridge
John,Hames,1866-05-06,St Andrews
Florence,Warner,1877-03-29,Wishaw
John,Pearson,26-10-1944,Anstruther
Phillis,Axton,1874-08-28,Musselburgh
Christopher,Darby,16-08-1907,Grantown-on-Spey
Charlotte,White,09-03-1911,Thurso
Samuel,Allcock,04-09-1913,Milngavie
Mollie,Slack,04-03-1956,Elgin
Margaret,Mcgann,1847-05-28,Portadown
George,Alderson,27-02-1912,Buckie
John,Davis,10-05-1934,Grantown-on-Spey
Stephen,Felkin,04-09-1968,Lisburn
Graham,Ewer,29-10-1944,Aberdeen
Robert,Scott,1854-05-20,Buckie
William,Allan,1882-01-22,Greenock
John,Gyte,1845-04-28,Falkirk
Michelle,Fisk,22-02-1970,Anstruther
Ada,Marshall,1869-03-17,Nairn
Winsome,Compton,05-12-1902,Bellshill
Albert,Damper,23-01-1903,Wishaw
William,Field,1871-03-24,Elgin
Martyn,Brown,08-05-1958,Lisburn
Lee,Titterton,22-12-1978,Larne
Wayne,Morris,20-12-1940,Londonderry
Arthur,Bradshaw,1859-06-30,Barrhead
Andrew,Mcnally,09-11-1970,Stonehaven
Horence,Pickard,1865-08-15,Londonderry
John,Slater,30-03-1951,Forres
William,Westlake,1859-05-26,West Calder
Anna,Glass,1883-03-12,Kilsyth
Hugh,Bourne,1837-05-30,Clydebank
John,Waites,1883-09-19,Castle Douglas
Roy,Mather,09-09-1935,Armagh
Roy,Birtles,27-01-1909,Leven
Fanny,Gordin,1856-01-08,Huntly
Beryl,Stubbs,26-11-1951,Kirriemuir
Charlotte,Briant,1838-09-09,Selkirk
Lucy,Root,1891-08-23,Peterhead
Nicola,Trice,30-04-1973,Kelso
Nicola,Hanneghan,14-03-1971,West Calder
Maud,Butcher,1880-03-29,Greenock
Kenneth,Harker,16-09-1928,Omagh
Elizabeth,Wills,1869-12-21,Stranraer
Alder,Asbury,06-06-1954,Larne
Dorothy,Tordoff,03-10-1938,Bellshill
Carol,Davies,22-11-1943,Paisley
William,Petts,1873-02-27,Dunfermline
Frederick,Cummings,1862-11-30,Portsoy
Harold,Buckingham,1871-01-15,Greenock
Paula,Savory,07-07-1968,Nairn
Margaret,Birkett,1867-10-18,Lerwick
Robert,Walton,1865-05-10,Lockerbie
Wendy,Wood,20-09-1961,Bridge of Allan
Alfred,Hunt,1891-10-17,Coatbridge
Thomas,Hazelwood,1860-05-07,Strabane
Robert,Wilson,1857-07-16,Strabane
James,Hather,1871-05-09,Cookstown
Robert,Smith,09-06-1949,Carrickfergus
Alfred,Dean,1852-01-04,Nairn
Mark,Campbell,01-11-1971,Irvine
Eva,Jennings,06-12-1910,Helensburgh
Grace,Croucher,1897-12-07,Wick
Julie,Minett,18-07-1973,Ballymena
Thomas,Jones,12-05-1910,Helensburgh
Laura,Cossing,16-06-1979,Lockerbie
Doris,Hughes,27-02-1917,Jedburgh
Catherine,Owen,1847-08-21,Coatbridge
Gordon,Booth,1885-09-15,Galashiels
Alan,Briggs,07-10-1926,Blairgowrie
Colin,Read,02-12-1978,Kinross
Doreen,Jones,28-11-1948,Newton Stewart
Patricia,Wareing,27-04-1959,Inverness
Annie,Ballabon,23-11-1907,Lisburn
Jean,Houghton,21-03-1975,Enniskillen
Emma,Beazley,1886-05-11,Elgin
Martha,Milner,1899-06-11,Coatbridge
Winifred,Martin,28-02-1905,Kinross
Mirian,Kingwell,1867-06-29,Portsoy
Robert,Stone,11-10-1944,Edinburgh
John,Turpin,02-11-1906,Oban
Robert,Dempsey,21-10-1952,Carluke
Paul,Wright,13-09-1965,Inverness
Joyce,Kelsey,30-09-1923,Wick
Frances,Rylatt,1844-10-23,Dalkeith
Annie,Pawley,1875-10-29,Londonderry
Lucy,Frencham,1849-03-14,Kilsyth
George,King,1850-08-16,Bangor
Cecil,Crouch,12-09-1903,Kirriemuir
Graham,Brookes,17-02-1965,Inverness
Frances,Jackson,1896-03-28,Cookstown
Charles,Dent,27-02-1911,Kelso
Sarah,Kellerd,1860-08-01,Invergordon
Nicky,Mitchell,27-01-1982,Armagh
Jean,Bowbeer,24-03-1943,Forres
Ann,Clifton,28-07-1938,Anstruther
William,Smith,1846-04-12,Newry
Helen,Denby,19-02-1967,Port Glasgow
Robertis,Adam,22-04-1909,Anstruther
Denise,Wootton,14-08-1940,Campbeltown
Sidney,Goodman,09-05-1923,Golspie
William,Shelton,1865-02-09,Peebles
Hazel,Wright,19-08-1965,Helensburgh
Emma,Walton,21-08-1915,Clydebank
James,Woods,10-11-1903,Rothesay
George,Bower,20-10-1918,Kelso
Thomas,Williams,1885-12-17,West Calder
Albert,Glibbery,10-09-1902,Huntly
William,Kirby,24-11-1928,Elgin
Augustus,Pearsall,1895-08-23,Perth
Sarah,Spear,1890-06-17,Greenock
Thomas,White,08-11-1906,Stranraer
Emma,Mather,15-03-1916,Stornoway
Ann,Abbott,1849-02-20,Dalkeith
Philip,Curling,18-05-1902,Dumbarton
James,Kenyon,18-05-1906,Linlithgow
Norma,Rumke,16-05-1940,Arbroath
Joseph,Paton,06-11-1956,Clydebank
Lewis,Impey,19-12-1905,Lockerbie
Lynne,Hucklesbee,27-06-1952,Belfast
Lily,Childs,1888-07-19,Downpatrick
Jenny,Rowe,1884-07-20,Edinburgh
Sarah,Bennett,1842-11-28,Dromore
Gwendolen,Clasper,17-01-1905,Carluke
Sheila,Hodges,21-07-1929,Forfar
Emma,Wells,1875-02-09,Leven
Frederick,Bell,1883-10-07,Buckie
Saran,Lawlor,05-02-1964,Thurso
Sylvia,Copper,14-09-1961,Dunfermline
Rosa,Westley,1868-09-21,Kirkwall
Michele,Williams,21-04-1947,Kilsyth
William,Renecles,1851-06-12,Ballymoney
Joanne,Young,03-10-1970,Banff
Doris,Holmes,30-08-1921,Linlithgow
Thomas,Depledge,14-02-1931,Cupar
Brian,Foster,25-05-1933,Thurso
Rosie,Allen,02-09-1910,Londonderry
Jonathan,Lane,29-10-1979,Haddington
Darren,Lacey,29-04-1971,Dalry
Roy,Davis,29-04-1958,Dingwall
Ikechukwu,Nwufoh,19-02-1978,Anstruther
William,Gardner,1857-05-03,Falkirk
Ronald,Gregg,23-01-1943,Lisburn
Selina,Jennings,26-11-1973,Montrose
Maureen,Williamson,12-02-1948,Dalkeith
Melvyn,Langford,25-02-1953,Armagh
Alfred,Beedle,20-06-1912,Peterhead
David,Davis,16-04-1960,Oban
Ceri,Delacoe,25-06-1981,Stonehaven
Zoe,Raggett,16-09-1959,Dundee
Greenwood,Shaw,08-07-1902,Dumfries
Charles,Huteson,1881-08-03,Haddington
James,Short,06-02-1919,Campbeltown
William,Annable,1851-12-27,Edinburgh
Alice,Milhench,1885-05-22,Jedburgh
Arthur,Fitt,28-05-1919,Helensburgh
Charles,Atkins,04-10-1932,Cookstown
Elsie,Slade,1888-06-08,Dumbarton
Mary,Lawless,1890-12-31,Golspie
Samuel,Hughes,1846-11-01,Omagh
Alice,Tilling,10-04-1903,Wick
Martin,Benny,18-04-1955,Barrhead
Hilda,Anderton,03-11-1913,Bangor
Eliza,James,02-03-1909,Lockerbie
Elsie,Insley,1895-12-21,Invergordon
William,Taylor,1894-06-08,Clydebank
John,Webb,08-03-1947,Bathgate
John,Naughton,14-11-1959,Ballymena
Margaret,Horn,19-07-1933,Brechin
John,Gordon,10-04-1941,Dufftown
Elizabeth,Hill,21-12-1900,Helensburgh
William,Davies,1888-08-21,Enniskillen
Geoffrey,Parslew,12-07-1912,Belfast
Varsha,Dajibhai,23-02-1967,Kirkcaldy
Eva,Ellison,1893-12-08,Bridge of Allan
William,Symes,10-05-1935,Banff
Arthur,Price,1887-06-19,Inverness
Holly,Butler,09-06-1976,Peebles
Sarah,Robinson,20-09-1917,Kilmarnock
David,Watts,09-07-1949,Cupar
Charles,Ingram,1866-03-15,Keith
Peter,Eyre,30-05-1937,Crieff
Lawrence,Booth,1856-06-20,Dalkeith
Mary,Blackwell,1898-11-16,Enniskillen
May,Winfield,1880-02-09,Dalbeattie
Elizabeth,Hickman,17-06-1911,Peterhead
Male,Compton,1857-04-07,Dumfries
James,Greenslade,04-02-1918,Fraserburgh
Isaac,Bibbins,1884-01-08,Ayr
Violet,Wood,30-09-1911,Kirkcaldy
Walter,Davies,1876-10-19,Glasgow
Moses,Smith,1869-06-28,Hawick
Elizabeth,Thirkell,1871-08-19,Lockerbie
Emma,Manning,29-01-1977,Ballymoney
John,Sharples,1889-03-08,Ballymena
Alison,Taylor,30-06-1952,Stonehaven
Mary,Shepherd,1898-02-07,Kilmarnock
Simon,Brown,11-05-1976,Huntly
John,Butler,1866-12-07,Perth
Julie,Asquith,20-01-1962,Belfast
Rosalind,Hammonds,09-08-1904,Portadown
Benjamin,Rogers,07-01-1979,Leven
Mona,Woods,03-02-1916,Nairn
Valerie,Jones,16-11-1955,Ayr
Elizabeth,Wood,1864-05-25,Leven
John,Peace,1852-10-31,Newtownards
Peter,Hannam,09-12-1961,Lockerbie
Julian,Brown,29-09-1975,Dufftown
John,Shepherd,1886-04-26,Aberdeen
Male,Pratt,1848-11-08,Nairn
Reginald,Jackson,28-12-1921,Ayr
Mabel,Hewett,1896-11-22,Newton Stewart
Eliza,Howkins,1843-12-06,West Calder
Keith,Jones,25-02-1962,Stornoway
Marjorie,Faulkner,05-09-1916,Dromore
William,Wilson,1899-08-21,Coatbridge
Mary,Clarke,09-10-1921,Peebles
Agnes,Scott,1897-06-16,Bridge of Allan
Carol,Spencer,08-01-1948,Cupar
Samuel,Sweet,1890-02-20,Newtownards
Mark,Sullivan,30-03-1974,Belfast
Michael,Harper,22-07-1905,Crieff
Melvin,Wingfield,28-01-1956,Alloa
Kevin,O'dwyer,17-10-1966,Irvine
Geoffrey,Handley,15-10-1945,Dunfermline
Alec,Threlkeld,13-02-1938,Newry
Bernard,Huggins,1898-03-13,Dumbarton
Elsie,Hoiles,24-09-1924,Carrickfergus
Vivienne,Williams,25-04-1963,Tillicoultry
Michael,Cox,16-01-1943,Nairn
Emily,Reynolds,27-06-1978,Annan
Joy,Reddall,27-06-1924,Newtownards
Samuel,Gilbert,1874-02-24,Lurgan
Lottie,Busby,1891-03-30,Banff
Kenneth,Acock,15-04-1934,Dumfries
Nancy,Hunting,1864-06-01,Rothesay
John,Rowntree,1893-12-31,Newtownards
David,Tierney,23-01-1948,Peebles
Geoffrey,Dickinson,1893-05-12,Bathgate
Mary,Smith,1885-02-02,Bridge of Allan
August,Olsen,1884-12-13,West Calder
Benjamin,Ford,1888-04-08,Kilsyth
Susan,Gray,10-06-1952,Invergordon
Ephraim,Jeffries,1866-04-14,Lisburn
Arthur,Oldenburg,03-03-1904,Langholm
Eileen,Pope,10-04-1930,Ballymoney
Minnie,Warner,1865-03-09,Cookstown
Harold,Keightley,12-12-1948,Dunfermline
Sarah,Meadows,1840-12-29,Musselburgh
Frank,Lee,12-02-1916,Dalbeattie
Norah,Exley,1866-07-28,Coatbridge
Hannah,Terry,1844-06-20,Coatbridge
Daniel,Williams,1859-07-28,Irvine
Mary,Hughes,1875-08-27,Buckie
Bessie,Marsh,28-09-1914,Tillicoultry
Jane,Scullins,01-11-1903,Montrose
Harriet,Lewis,1876-08-17,Galashiels
John,Harrison,17-04-1954,Dumbarton
Caroline,Jones,1858-11-16,Rothesay
Mabel,Wood,1888-02-24,Edinburgh
Charity,Groven,1874-09-07,Carluke
James,Burch,09-02-1900,Ballymena
Edward,Yates,22-03-1902,Hawick
Wilfred,Woods,1875-10-01,Keith
Roy,Lightfoot,15-12-1914,Peebles
Mary,Heywood,1840-12-05,Peebles
William,Bradshaw,1897-07-12,Selkirk
Susan,Westell,14-04-1975,Dundee
Amanda,Fairclough,08-06-1962,Dumfries
James,Colby,1873-03-10,Invergordon
Herbert,Ford,14-12-1909,Lerwick
Rachel,Hughes,1841-11-21,Thurso
Charles,Andrews,1850-12-20,Selkirk
Suzanne,Llewellyn,21-03-1968,Wick
Malcolm,Turner,30-09-1951,Arbroath
Peter,Ask,01-09-1946,Kilmarnock
George,Mayson,1847-04-20,Wishaw
Stephen,Lawson,07-08-1958,Bellshill
Frederick,Edwards,1884-11-07,Annan
Joe,Fogarty,23-08-1975,Rothesay
Susannah,Jones,1868-06-17,Portadown
Meriol,Roberts,01-07-1942,Nairn
Mary,Smith,1846-07-31,Forres
Louisa,Taylor,07-04-1902,Wick
Annie,Etheridge,12-10-1912,Bridge of Allan
Russell,Scott,03-05-1963,Rothesay
Joan,Pollard,18-10-1939,Dunfermline
Heather,James,30-11-1955,Leven
Harold,Bett,22-12-1934,Dalry
Mary,Boundy,1877-04-15,Falkirk
Sophie,Creyton,20-11-1976,Portadown
Mark,Mumford,12-11-1954,Carluke
Susan,Powell,25-05-1967,Huntly
Clara,Tonkin,1861-02-11,Port Glasgow
Matthew,Fennell,23-05-1980,Milngavie
George,Evans,1867-03-09,Glasgow
Caroline,Clarke,1861-05-08,Invergordon
Peter,Vine,23-06-1932,Ballymena
Lynda,Rose,19-02-1958,Leven
John,Bowles,1864-07-05,Musselburgh
George,Brown,1857-01-01,Brechin
Emma,Eaton,1843-10-29,Montrose
Edward,Simmonite,1884-02-06,Kirkwall
Dolly,Jennings,10-10-1901,Londonderry
Evelyn,Headley,1890-10-07,Campbeltown
James,Wilkins,31-07-1958,Carrickfergus
John,Wignall,1846-10-06,Anstruther
Patricia,Scott,09-09-1933,Huntly
William,Speke,1867-08-17,Ardrossan
Robert,Austin,1889-11-03,Dalkeith
Daisy,Barnes,27-02-1975,Thurso
Kathleen,Kitchenham,05-07-1938,Dingwall
Harry,Gothard,1871-04-10,Bangor
Mark,Lambert,10-11-1966,Cupar
Arthur,Loveless,1886-04-21,Aberdeen
Peter,Burgess,28-07-1953,Fraserburgh
Albert,Andrews,1883-01-26,Armagh
Francis,Pitman,18-05-1921,Coleraine
Jack,Turner,08-11-1920,Elgin
Kathleen,Killingsworth,28-11-1922,Coatbridge
Eleanor,Lewis,1892-11-07,Banff
Margaret,Williams,1899-11-02,Kilmarnock
Sanjay,Wadher,02-12-1979,Newtownards
John,Wall,03-01-1959,Omagh
Rose,Harrow,1865-01-07,Cupar
Frederick,Jones,1899-12-19,Jedburgh
Kenneth,Harrison,04-01-1922,Dufftown
Catherine,Carnaby,21-04-1907,Selkirk
Simpson,Preston,1853-02-06,Larne
Mary,Allinson,1843-02-04,Tillicoultry
Edith,Battersby,1879-03-20,Dundee
Edward,Mackley,1842-03-26,Anstruther
Eleanor,Jackson,1844-08-04,Kirkintilloch
John,Knowes,1839-08-06,Portsoy
Gwyneth,Jones,01-10-1966,Kelso
Joan,Tooke,12-07-1926,Oban
George,Robinson,1871-07-12,Helensburgh
Miriam,Darvill,02-08-1912,Newton Stewart
Nichola,Penrice,26-09-1978,Downpatrick
Frederick,Vasey,14-01-1971,Lurgan
Margaret,Lewis,1845-03-03,Fraserburgh
Jonathan,Davis,1852-12-19,Irvine
Joyce,Mills,29-05-1926,Bridge of Allan
Paula,Hudson,21-06-1965,Kirriemuir
Elizabeth,Hayes,1845-08-05,Stonehaven
Martha,Royds,1878-03-01,Banff
Gillian,Bourne,16-06-1943,Dufftown
Emma,Butler,1857-07-20,Tillicoultry
Mary,Martin,1846-12-25,Milngavie
William,Marshall,1882-08-23,Galashiels
Jean,Tanner,18-12-1957,Campbeltown
Angelina,Johnson,07-04-1902,Dalry
Judith,Sharp,20-03-1943,Forfar
Elizabeth,Wass,1893-04-16,Keith
Joyce,Dungate,21-02-1937,Ardrossan
Richard,Fryer,12-11-1956,Omagh
Ivy,Bellamy,1895-05-21,Milngavie
John,Grayson,20-04-1962,Ardrossan
Christine,Pearce,14-11-1952,Carluke
John,Maguire,1868-08-30,Cupar
Margaret,Smith,20-07-1913,Dungannon
Dorothy,Holden,1897-09-18,Dromore
Clara,Gammon,1868-09-14,Kinross
William,Sando,24-06-1902,Thurso
Doreen,Sutton,01-02-1940,Dungannon
William,Alford,28-10-1902,Coatbridge
Pauline,Alexander,28-08-1937,Selkirk
Simon,Shaw,29-05-1980,Keith
John,Ellis,1861-02-19,West Calder
Katherine,Brodie-browne,16-03-1982,Airdrie
Mary,Howes,1895-06-14,Lanark
Frances,King,05-06-1902,Coatbridge
Frederick,Maple,1893-03-01,Invergordon
Evangeline,Fry,1854-06-01,Banff
Alabama,Williams,1863-05-22,St Andrews
Lily,Garnett,1894-09-24,Ballymoney
Horace,Kitchin,1886-08-25,Newry
Lindsey,Field,15-06-1964,Motherwell
Grace,Ray,25-08-1905,Lerwick
Mavis,Murray,11-07-1935,Brechin
George,Cheshire,1891-01-15,Tillicoultry
Vicky,Brooker,19-04-1969,Omagh
Amanda,Hanson,24-09-1968,Portsoy
Roger,Kay,26-08-1931,Linlithgow
Catharine,Dunlop,1844-11-15,Carluke
Tina,Hughes,16-07-1966,Brechin
Jonathan,Ogden,15-02-1963,Dromore
Simon,Coomer,14-01-1966,Wick
Daniel,Green,1855-08-29,Bridge of Allan
Natalie,Cole,13-08-1981,Haddington
Cora,Robinson,24-11-1925,Kirriemuir
Alfred,Miles,1872-09-02,Peebles
James,Wensley,05-04-1929,Anstruther
Piers,Martin,10-04-1981,Forfar
Minnie,George,1883-02-16,Jedburgh
Arthur,Burgess,1871-05-22,Kelso
